City_ID,City,Country,Date,Lat,Lng,Conditions,Max Temp,Humidity,Cloudiness,Wind Speed
182,Maragogi,BR,2022-04-26 22:40:07,-9.0122,-35.2225,clear sky,77.92,76,3,9.53
183,Chokurdakh,RU,2022-04-26 22:41:08,70.6333,147.9167,overcast clouds,11.98,93,100,8.32
184,Mount Pleasant,US,2022-04-26 22:38:55,32.7941,-79.8626,broken clouds,75.0,83,75,8.05
185,Fortuna,US,2022-04-26 22:41:08,40.5982,-124.1573,clear sky,58.93,61,0,17.27
186,Doka,SD,2022-04-26 22:41:09,13.5167,35.7667,overcast clouds,87.73,18,100,6.26
187,Katobu,ID,2022-04-26 22:41:09,-4.9408,122.5276,overcast clouds,76.51,93,86,2.64
188,Mashhad,IR,2022-04-26 22:40:03,36.297,59.6062,clear sky,66.34,55,0,6.91
189,Esmeraldas,BR,2022-04-26 22:41:10,-19.7625,-44.3139,broken clouds,76.24,80,84,5.01
190,Grindavik,IS,2022-04-26 22:41:10,63.8424,-22.4338,broken clouds,42.75,87,75,3.44
191,Liberia,LR,2022-04-26 22:41:11,6.5,-9.5,overcast clouds,75.15,93,100,3.51
192,Cheyenne,US,2022-04-26 22:41:11,41.14,-104.8203,clear sky,66.97,14,0,17.0
193,Kahului,US,2022-04-26 22:41:12,20.8947,-156.47,few clouds,84.22,61,20,24.16
194,Yerbogachen,RU,2022-04-26 22:41:12,61.2767,108.0108,scattered clouds,28.54,85,50,7.43
195,Nikolskoye,RU,2022-04-26 22:41:13,59.7035,30.7861,overcast clouds,36.81,86,89,6.22
196,Tautira,PF,2022-04-26 22:41:13,-17.7333,-149.15,light rain,81.01,74,34,22.17
197,Opuwo,NA,2022-04-26 22:41:13,-18.0607,13.84,clear sky,66.69,43,5,3.53
198,Lexington,US,2022-04-26 22:36:18,37.9887,-84.4777,clear sky,58.89,44,0,12.66
199,Bengkulu,ID,2022-04-26 22:41:14,-3.8004,102.2655,scattered clouds,76.53,89,46,3.69
200,Missoula,US,2022-04-26 22:41:15,47.0166,-113.8009,overcast clouds,45.0,78,91,9.69
201,Zhigansk,RU,2022-04-26 22:41:15,66.7697,123.3711,scattered clouds,11.89,92,33,11.54
202,Tatarsk,RU,2022-04-26 22:41:16,55.219,75.9828,broken clouds,43.38,72,72,4.54
203,Pangnirtung,CA,2022-04-26 22:41:16,66.1451,-65.7125,clear sky,-2.2,71,0,0.0
204,Santiago De Chuco,PE,2022-04-26 22:41:17,-8.15,-78.1833,light rain,52.61,90,87,3.06
205,Kuhdasht,IR,2022-04-26 22:41:17,33.535,47.6061,clear sky,56.77,63,2,1.7
206,Ternate,ID,2022-04-26 22:41:17,0.8,127.4,broken clouds,81.61,78,83,4.27
207,Cap Malheureux,MU,2022-04-26 22:41:18,-19.9842,57.6142,few clouds,75.47,77,16,7.0
208,Traverse City,US,2022-04-26 22:38:32,44.7631,-85.6206,overcast clouds,35.83,76,100,9.22
