City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Alta Floresta,BR,2022-04-18 04:23:31,-9.8756,-56.0861,70.5,97,98,2.82
158,Saint-Georges,GD,2022-04-18 04:19:29,12.0564,-61.7485,80.28,78,20,13.8
159,Ancud,CL,2022-04-18 04:23:32,-41.8697,-73.8203,55.22,90,92,6.71
160,Broken Hill,AU,2022-04-18 04:19:57,-31.95,141.4333,81.84,23,100,14.12
161,San Juan Del Sur,NI,2022-04-18 04:23:32,11.2529,-85.8705,79.23,69,100,4.63
162,Butaritari,KI,2022-04-18 04:23:33,3.0707,172.7902,81.75,72,23,11.81
163,Codrington,AU,2022-04-18 04:23:33,-38.2667,141.9667,59.38,71,100,9.91
164,Oyem,GA,2022-04-18 04:23:34,1.5995,11.5793,68.59,98,100,2.26
165,Tobermory,CA,2022-04-18 04:23:34,45.2501,-81.6665,32.05,64,0,3.91
166,Saint-Philippe,RE,2022-04-18 04:23:35,-21.3585,55.7679,78.39,88,24,11.01
167,Biloela,AU,2022-04-18 04:23:35,-24.4167,150.5,83.73,26,0,2.48
168,Pisco,PE,2022-04-18 04:19:59,-13.7,-76.2167,63.01,82,0,9.22
169,Cabo San Lucas,MX,2022-04-18 04:18:59,22.8909,-109.9124,76.51,64,98,5.99
170,Nanakuli,US,2022-04-18 04:23:36,21.3906,-158.1547,78.75,60,75,9.22
171,Arraial Do Cabo,BR,2022-04-18 04:23:37,-22.9661,-42.0278,71.22,72,19,3.98
172,Longyearbyen,SJ,2022-04-18 04:23:37,78.2186,15.6401,21.04,86,100,0.0
173,Zambezi,ZM,2022-04-18 04:23:38,-13.5432,23.1047,62.19,98,69,4.79
174,Karla,EE,2022-04-18 04:23:38,59.3723,24.9275,37.36,81,0,4.61
175,Sitka,US,2022-04-18 04:23:39,57.0531,-135.33,44.49,53,75,0.0
176,Moussoro,TD,2022-04-18 04:23:39,13.6408,16.4901,84.38,16,100,5.95
177,Clyde River,CA,2022-04-18 04:23:40,70.4692,-68.5914,-16.37,76,100,5.75
178,Kalinovskaya,RU,2022-04-18 04:23:40,43.5758,45.5192,47.48,68,27,3.2
179,North Platte,US,2022-04-18 04:23:41,41.1239,-100.7654,42.69,37,0,18.41
180,Port-Gentil,GA,2022-04-18 04:23:42,-0.7193,8.7815,80.55,82,100,6.67
181,Parfino,RU,2022-04-18 04:23:42,57.9731,31.6481,35.1,81,100,2.24
182,Abu Dhabi,AE,2022-04-18 04:19:42,24.4667,54.3667,82.51,41,0,17.27
183,Namatanai,PG,2022-04-18 04:23:42,-3.6667,152.4333,86.05,62,92,10.47
184,Chokurdakh,RU,2022-04-18 04:23:43,70.6333,147.9167,15.51,88,47,4.85
185,Bonavista,CA,2022-04-18 04:23:43,48.6499,-53.1147,39.92,96,100,17.43
186,Amahai,ID,2022-04-18 04:24:44,-3.3333,128.9167,87.12,64,99,7.25
187,Marsh Harbour,BS,2022-04-18 04:24:44,26.5412,-77.0636,75.79,83,43,12.35
188,Yakeshi,CN,2022-04-18 04:24:45,49.2833,120.7333,56.91,35,99,19.77
189,Lyubymivka,UA,2022-04-18 04:24:45,46.8106,33.5686,39.99,93,100,18.28
190,Namtsy,RU,2022-04-18 04:24:46,62.7161,129.6658,34.68,77,100,14.47
191,Floro,NO,2022-04-18 04:24:46,61.5996,5.0328,44.96,81,0,5.75
192,Ulaangom,MN,2022-04-18 04:24:47,49.9811,92.0667,55.45,20,98,1.68
193,Puerto Escondido,MX,2022-04-18 04:24:48,15.85,-97.0667,81.1,73,10,8.5
194,Tiksi,RU,2022-04-18 04:24:48,71.6872,128.8694,8.85,93,95,3.89
195,Bandarbeyla,SO,2022-04-18 04:24:46,9.4942,50.8122,82.53,76,17,9.22
196,Whitianga,NZ,2022-04-18 04:24:49,-36.8333,175.7,63.03,90,100,19.1
